YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,MAM,JJA,SON,DJF,ANN
1968,15.9,17.8,22.8,26.2,28.6,28.6,26.6,26.0,26.3,23.8,20.4,17.4,25.9,27.1,23.5,17.8,23.4
1969,16.6,19.4,24.6,27.3,28.9,29.0,26.7,25.9,25.6,24.4,21.4,17.6,26.9,27.2,23.8,17.8,23.9
1970,16.9,19.0,23.0,27.7,29.7,27.7,26.7,25.9,25.6,24.3,19.8,16.7,26.8,26.8,23.2,17.2,23.6
1971,16.3,18.7,22.8,27.1,28.2,27.1,26.1,25.6,25.6,23.7,19.7,16.8,26.0,26.3,23.0,16.9,23.1
1972,16.6,17.4,23.4,26.6,29.5,29.6,27.2,26.1,25.7,24.1,20.4,17.9,26.5,27.6,23.4,18.3,23.7
1973,17.0,19.9,23.2,28.5,29.9,28.8,26.7,25.8,25.6,23.9,19.9,16.7,27.2,27.1,23.2,17.0,23.8
1974,16.1,18.3,23.9,27.8,28.8,28.5,26.7,26.1,26.1,24.5,19.9,16.3,26.9,27.1,23.5,16.9,23.6
1975,15.8,18.6,22.8,27.4,29.5,28.1,26.0,25.9,25.2,24.4,19.3,16.5,26.6,26.7,23.0,17.3,23.3
1976,16.5,19.0,23.2,26.6,28.9,28.0,26.6,25.5,25.3,24.5,21.8,17.6,26.2,26.7,23.9,17.8,23.6
1977,16.5,19.3,24.5,26.9,28.1,28.2,26.5,26.0,25.6,24.3,21.8,17.5,26.5,26.9,23.9,17.3,23.8
1978,16.0,18.4,22.1,27.0,30.1,28.4,26.1,25.7,25.6,24.5,21.3,17.5,26.4,26.7,23.8,17.7,23.6
1979,17.3,18.3,22.4,27.6,28.8,29.3,27.2,26.3,26.0,24.8,22.0,18.0,26.3,27.6,24.3,18.3,24.0
1980,17.0,19.7,23.2,28.2,30.0,28.2,26.6,26.0,26.1,24.6,21.0,17.7,27.2,26.9,23.9,17.9,24.0
1981,16.5,19.5,22.8,27.1,29.1,29.2,26.5,26.1,26.1,24.4,19.9,17.1,26.3,27.3,23.4,17.7,23.7
1982,17.3,18.6,22.1,26.5,28.3,28.7,27.6,26.1,26.0,24.7,20.6,17.8,25.6,27.5,23.8,17.5,23.7
1983,16.4,18.5,22.8,25.9,28.7,29.2,27.2,26.3,25.9,23.8,19.8,17.0,25.8,27.5,23.2,17.2,23.5
1984,16.5,18.0,24.0,27.4,30.1,28.6,26.3,25.8,25.1,24.1,19.9,17.8,27.2,26.9,23.1,18.0,23.6
1985,17.1,19.2,24.8,27.6,29.6,28.5,26.3,26.1,25.9,23.5,20.4,18.2,27.3,26.9,23.3,18.0,23.9
1986,16.8,18.9,23.2,27.1,28.8,28.7,26.5,25.9,26.0,24.2,21.1,17.3,26.4,27.0,23.8,18.0,23.7
1987,17.0,19.5,23.3,27.4,28.2,29.5,27.4,26.6,26.7,24.8,21.3,17.8,26.3,27.8,24.3,18.6,24.1
