YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,MAM,JJA,SON,DJF,ANN
2011,4.6,19.4,11.2,31.6,49.1,180.9,275.1,297.8,200.6,48.8,21.8,10.6,91.9,753.9,271.2,34.8,1151.6
2012,19.6,4.6,7.8,37.9,31.6,105.4,261.9,270.6,221.5,62.6,26.1,10.4,77.3,637.9,310.2,40.9,1060.0
2013,7.4,23.1,14.8,29.6,49.5,230.3,346.4,244.5,161.4,116.4,22.6,7.8,93.9,821.1,300.5,43.5,1253.8
2014,15.5,20.1,19.8,21.2,60.9,108.6,285.3,229.1,208.9,78.0,16.6,9.9,101.9,623.0,303.4,37.0,1073.8
2015,15.3,11.8,32.1,51.1,53.8,187.6,260.7,246.1,155.7,51.1,45.9,13.8,136.9,694.4,252.7,31.7,1124.8
2016,8.4,9.6,21.4,24.1,69.5,155.6,335.2,246.1,162.4,57.5,11.3,12.4,115.0,736.9,231.3,31.2,1113.5
2017,12.4,6.4,19.7,36.6,51.3,161.5,319.2,250.7,174.0,93.7,24.6,10.8,107.7,731.4,292.3,19.9,1161.0
2018,3.0,6.0,11.7,32.8,53.7,156.3,306.2,228.1,146.2,48.9,21.8,10.9,98.2,690.6,216.9,39.0,1025.5
2019,11.4,16.7,11.6,26.5,49.2,125.5,327.0,317.7,277.9,123.1,27.3,12.5,87.3,770.2,428.3,47.4,1326.4
2020,23.9,11.0,24.4,42.0,59.7,179.0,268.2,306.1,203.0,95.8,28.3,12.7,126.1,753.3,327.1,33.0,1254.1
2021,15.4,5.0,16.5,26.5,71.3,165.8,309.6,210.0,216.9,108.5,57.2,14.5,114.3,685.5,382.7,59.4,1217.3
2022,30.6,14.3,6.9,31.8,66.0,148.1,374.8,276.3,200.7,110.3,17.5,20.1,104.7,799.1,328.4,99.0,1297.2
2023,11.90737027503048,12.062186695569707,17.44980354965452,31.449424197263244,56.78357946077767,153.6850833220431,292.86981438829423,257.079433681073,179.26226798536788,86.19115296030347,28.62904755453191,12.446877116921826,105.69021812762499,703.6271914374747,,,
2024,11.889830514075356,12.042806018088633,17.44918726724186,31.45970405226339,56.803144527313044,153.56664805152323,292.92219574979924,257.1365163025698,179.37215692235506,86.29574054675649,28.61955052689668,12.454569907574161,105.71942066148748,703.6180773971404,,,
2025,11.87229075312024,12.02342534060756,17.448570984829207,31.46998390726354,56.822709593848415,153.44821278100332,292.9745771113042,257.1935989240667,179.48204585934226,86.40032813320951,28.610053499261454,12.462262698226494,105.74862319534996,703.6089633568062,,,
2026,11.854750992165116,12.004044663126486,17.447954702416553,31.48026376226369,56.84227466038378,153.32977751048344,293.0269584728092,257.25068154556357,179.59193479632944,86.50491571966253,28.600556471626227,12.469955488878828,105.77782572921245,703.5998493164718,,,
2027,11.837211231209992,11.984663985645412,17.4473384200039,31.49054361726384,56.86183972691915,153.21134223996356,293.07933983431417,257.30776416706044,179.70182373331662,86.60950330611556,28.591059443991,12.477648279531163,105.80702826307494,703.5907352761376,,,
2028,11.819671470254875,11.965283308164345,17.446722137591244,31.50082347226399,56.88140479345452,153.09290696944367,293.1317211958192,257.36484678855726,179.81171267030382,86.71409089256858,28.581562416355773,12.485341070183496,105.83623079693743,703.5816212358033,,,
2029,11.80213170929975,11.945902630683271,17.44610585517859,31.511103327264134,56.90096985998989,152.97447169892376,293.18410255732414,257.42192941005413,179.921601607291,86.8186784790216,28.572065388720546,12.493033860835832,105.86543333079992,703.572507195469,,,
2030,11.784591948344627,11.926521953202197,17.445489572765933,31.521383182264284,56.92053492652526,152.85603642840388,293.23648391882915,257.47901203155095,180.0314905442782,86.92326606547462,28.56256836108532,12.500726651488165,105.8946358646624,703.5633931551347,,,
2031,11.767052187389503,11.907141275721123,17.44487329035328,31.531663037264433,56.94009999306063,152.737601157884,293.2888652803341,257.5360946530478,180.14137948126537,87.02785365192764,28.55307133345009,12.508419442140498,105.9238383985249,703.5542791148005,,,
2032,11.749512426434386,11.88776059824005,17.444257007940625,31.541942892264583,56.959665059596,152.6191658873641,293.3412466418391,257.5931772745447,180.25126841825258,87.13244123838066,28.543574305814865,12.516112232792834,105.95304093238738,703.5451650744662,,,
